e8724756-5012-41e2-901f-e81f7b6893d1,b2098a80-c17d-11e4-b554-7eee90f74c0d,1,191.90,"{'en': 'Eocepeap', 'es': 'Csrtzrdovgys', 'fr': 'Zslcthfdexmg'}",26.84,oxbpzit.jpg
e8724756-5012-41e2-901f-e81f7b6893d1,62bc5180-34b2-11e5-92bf-d6f1562e0041,2,191.90,"{'en': 'Gthgdyn', 'es': 'Fxchxejocfh', 'fr': 'Idalalio'}",29.89,xgkatueveu.jpg
e8724756-5012-41e2-901f-e81f7b6893d1,ee7be980-6b97-11e5-8207-b31dacfeed77,1,191.90,"{'en': 'Jtxyliimztjo', 'es': 'Dlvoltjq', 'fr': 'Grihbztgpkar'}",34.71,lujde.jpg
e8724756-5012-41e2-901f-e81f7b6893d1,8dba0580-7855-11e5-bf0a-c4d5c4ea4ddd,1,191.90,"{'en': 'Fwpcsujfr', 'es': 'Uyafsp', 'fr': 'Yfzkhkvcj'}",28.45,sbvswp.jpg
e8724756-5012-41e2-901f-e81f7b6893d1,2b930300-4c23-11e6-9090-51bca1f46f93,2,191.90,"{'en': 'Nkmixqjmiys', 'es': 'Xjbibuokykys', 'fr': 'Yvnxzrtibl'}",21.06,qswtev.jpg
c53edd69-6be4-4c90-af52-5d00f0abb8bc,a05d1400-f972-11e4-809c-bcc94e880ed1,2,251.29,"{'en': 'Iizzesdqaa', 'es': 'Uslvroz', 'fr': 'Airnlhhu'}",18.20,eobbcliuryci.jpg
c53edd69-6be4-4c90-af52-5d00f0abb8bc,62304280-4fab-11e5-9c50-39b236e6516b,3,251.29,"{'en': 'Aeqmtrnuows', 'es': 'Uaxwfknifxwcm', 'fr': 'Goprur'}",23.21,ustsdxdgeqqd.jpg
c53edd69-6be4-4c90-af52-5d00f0abb8bc,95615700-2720-11e6-a97e-e9ad2cecd7fc,3,251.29,"{'en': 'Tvzwgy', 'es': 'Vkpuxytzy', 'fr': 'Wipsegrtfayum'}",32.49,ynbxe.jpg
c53edd69-6be4-4c90-af52-5d00f0abb8bc,a93c4980-6d5f-11e6-9083-0bba6972236f,2,251.29,"{'en': 'Lhsamwhoi', 'es': 'Ygarsybuzzd', 'fr': 'Xjpuojfgz'}",13.32,icamezdmbasn.jpg
c53edd69-6be4-4c90-af52-5d00f0abb8bc,d5ac6d80-960c-11e6-91a1-995bbe4f385a,1,251.29,"{'en': 'Wuacfypuj', 'es': 'Aegztzkuoxwex', 'fr': 'Hohplhljm'}",21.15,zeloekpboc.jpg
11ebdaac-0709-4a47-b5a7-4ec11f1ea6bf,1e1b6380-d1fd-11e4-936b-a9109c2aa30f,3,171.69,"{'en': 'Zskilqamizjsg', 'es': 'Qymubacrxltxh', 'fr': 'Dxyjgqonbte'}",14.52,fxyic.jpg
11ebdaac-0709-4a47-b5a7-4ec11f1ea6bf,a05d1400-f972-11e4-809c-bcc94e880ed1,3,171.69,"{'en': 'Iizzesdqaa', 'es': 'Uslvroz', 'fr': 'Airnlhhu'}",18.20,eobbcliuryci.jpg
11ebdaac-0709-4a47-b5a7-4ec11f1ea6bf,8b1f3900-e5c7-11e5-861e-f2fd547b8298,3,171.69,"{'en': 'Lmdwflzcm', 'es': 'Ogwoslrghwj', 'fr': 'Txdzqgtonuwde'}",24.51,ysnqtgb.jpg
a4516f55-1a6b-4d39-b273-2f96d9698498,c0f46600-d175-11e6-af8a-8870a961368a,1,75.91,"{'en': 'Tfeewbmxc', 'es': 'Qgzthkowawkq', 'fr': 'Qcxjdroplygfg'}",15.49,yngsrrd.jpg
a4516f55-1a6b-4d39-b273-2f96d9698498,9410ed00-15c4-11e7-99bc-b567736e1d6d,3,75.91,"{'en': 'Iqfomfpevca', 'es': 'Aaskrm', 'fr': 'Aipehmcsqr'}",20.14,uiztyvvkwb.jpg
